Name,Company,Position,Email,Phone,Website,Country,Industry,Notes
Wieden+Kennedy,Wieden+Kennedy,,,,https://www.wk.com,United States,Marketing Agency,Real agency (Portland OR) — add contact email from website
Ogilvy,Ogilvy,,,,https://www.ogilvy.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
BBDO,BBDO,,,,https://www.bbdo.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
Droga5,Droga5,,,,https://www.droga5.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
VaynerMedia,VaynerMedia,,,,https://www.vaynermedia.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
Goodby Silverstein & Partners,Goodby Silverstein & Partners,,,,https://www.goodbysilverstein.com,United States,Marketing Agency,Real agency (San Francisco CA) — add contact email from website
72andSunny,72andSunny,,,,https://www.72andsunny.com,United States,Marketing Agency,Real agency (Los Angeles CA) — add contact email from website
Anomaly,Anomaly,,,,https://www.anomaly.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
R/GA,R/GA,,,,https://www.rga.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
Huge,Huge,,,,https://www.hugeinc.com,United States,Marketing Agency,Real agency (Brooklyn NY) — add contact email from website
Digitas,Digitas,,,,https://www.digitas.com,United States,Marketing Agency,Real agency (Boston MA) — add contact email from website
Razorfish,Razorfish,,,,https://www.razorfish.com,United States,Marketing Agency,Real agency (Chicago IL) — add contact email from website
Leo Burnett,Leo Burnett,,,,https://www.leoburnett.com,United States,Marketing Agency,Real agency (Chicago IL) — add contact email from website
FCB,FCB,,,,https://www.fcb.com,United States,Marketing Agency,Real agency (Chicago IL) — add contact email from website
DDB,DDB,,,,https://www.ddb.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
McCann,McCann,,,,https://www.mccann.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
Grey,Grey,,,,https://www.grey.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
Saatchi & Saatchi,Saatchi & Saatchi,,,,https://www.saatchi.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
Havas,Havas,,,,https://www.havas.com,United States,Marketing Agency,Real agency (New York NY) — add contact email from website
The Martin Agency,The Martin Agency,,,,https://www.martinagency.com,United States,Marketing Agency,Real agency (Richmond VA) — add contact email from website
